Tag,departure_start,departure_stop,return_start,return_stop,comment,use in analysis,sex,cave_group
PH_TS_120_2022-03-08,2022-03-08 00:23:00,2022-03-08 01:15:00,2022-03-08 07:22:00,2022-03-08 08:05:00,both,yes,m,ajcave
PH_TS_120_2022-03-09,2022-03-09 01:20:00,2022-03-09 02:23:00,2022-03-09 07:06:00,2022-03-09 07:46:00,return,yes,m,ajcave
PH_TS_120_2022-03-10,2022-03-10 01:24:00,2022-03-10 02:23:00,2022-03-10 06:18:00,2022-03-10 07:00:00,return,yes,m,ajcave
PH_TS_120_2022-03-11,2022-03-11 01:32:00,2022-03-11 03:30:00,2022-03-11 12:10:00,2022-03-11 17:51:00,both,yes,m,ajcave
PH_TS_120_2022-03-12,2022-03-12 01:15:00,2022-03-12 02:28:00,2022-03-12 05:34:00,2022-03-12 06:18:00,incomplete,no,m,ajcave
PH_TS_120_2022-03-13,2022-03-13 06:33:00,2022-03-13 07:23:00,2022-03-13 09:03:00,2022-03-13 09:50:00,departure,yes,m,ajcave
PH_TS_121_2022-03-08,2022-03-08 01:14:00,2022-03-08 02:13:00,2022-03-08 06:38:00,2022-03-08 07:20:00,return,yes,m,ajcave
PH_TS_121_2022-03-09,2022-03-09 01:52:00,2022-03-09 02:46:00,2022-03-09 07:51:00,2022-03-09 08:34:00,return,yes,m,ajcave
PH_TS_121_2022-03-10,2022-03-10 03:01:00,2022-03-10 04:05:00,2022-03-10 08:00:00,2022-03-10 08:43:00,return,yes,m,ajcave
PH_TS_121_2022-03-11,2022-03-11 02:59:00,2022-03-11 04:41:00,2022-03-11 08:47:00,2022-03-11 09:32:00,departure,yes,m,ajcave
PH_TS_121_2022-03-14,2022-03-14 03:55:00,2022-03-14 04:37:00,2022-03-14 09:16:00,2022-03-14 09:44:00,departure,yes,m,ajcave
PH_TS_083_2022-03-08,2022-03-08 00:48:00,2022-03-08 00:48:00,2022-03-08 06:21:00,2022-03-08 14:57:00,return,yes,m,ajcave
PH_TS_083_2022-03-09,2022-03-09 02:18:00,2022-03-09 02:58:00,2022-03-09 07:48:00,2022-03-09 08:29:00,return,yes,m,ajcave
PH_TS_083_2022-03-10,2022-03-10 02:22:00,2022-03-10 02:22:00,2022-03-10 08:10:00,2022-03-10 08:54:00,incomplete,yes,m,ajcave
PH_TS_083_2022-03-11,2022-03-11 03:33:00,2022-03-11 04:08:00,2022-03-11 08:08:00,2022-03-11 08:44:00,incomplete,yes,m,ajcave
